DEBUG: setDebug: JavaMail version 1.4ea
 INFO [main] 2011-02-22 13:12:06,715 Slf4jLog.java:92 :- Logging to org.slf4j.impl.Log4jLoggerAdapter(org.eclipse.jetty.util.log) via org.eclipse.jetty.util.log.Slf4jLog
 INFO [main] 2011-02-22 13:12:07,014 AbstractService.java:52 :- Starting Data Service
 INFO [main] 2011-02-22 13:12:07,037 ConfigManager.java:85 :- Loading up configuration
 INFO [main] 2011-02-22 13:12:08,339 Conductor.java:130 :- Loaded conductor.xml successfully
 INFO [main] 2011-02-22 13:12:08,340 ConfigManager.java:94 :- Connecting to conductor at: http://localhost:8081
 INFO [main] 2011-02-22 13:12:08,647 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:08,648 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:08,649 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:08,649 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:08,650 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:08,651 HttpMethodDirector.java:445 :- Retrying request
 WARN [main] 2011-02-22 13:12:08,651 ConfigManager.java:127 :- Unable to load configuration: java.net.ConnectException: Connection refused
 INFO [main] 2011-02-22 13:12:13,656 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:13,656 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:13,657 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:13,657 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:13,658 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:13,658 HttpMethodDirector.java:445 :- Retrying request
 WARN [main] 2011-02-22 13:12:13,658 ConfigManager.java:127 :- Unable to load configuration: java.net.ConnectException: Connection refused
 INFO [main] 2011-02-22 13:12:18,664 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:18,665 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:18,666 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:18,667 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:18,667 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:18,668 HttpMethodDirector.java:445 :- Retrying request
 WARN [main] 2011-02-22 13:12:18,668 ConfigManager.java:127 :- Unable to load configuration: java.net.ConnectException: Connection refused
 INFO [main] 2011-02-22 13:12:23,675 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:23,675 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:23,676 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:23,676 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:23,677 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:23,677 HttpMethodDirector.java:445 :- Retrying request
 WARN [main] 2011-02-22 13:12:23,678 ConfigManager.java:127 :- Unable to load configuration: java.net.ConnectException: Connection refused
 INFO [main] 2011-02-22 13:12:28,683 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:28,683 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:28,684 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:28,684 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:28,685 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:28,686 HttpMethodDirector.java:445 :- Retrying request
 WARN [main] 2011-02-22 13:12:28,687 ConfigManager.java:127 :- Unable to load configuration: java.net.ConnectException: Connection refused
 INFO [main] 2011-02-22 13:12:33,691 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:33,692 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:33,692 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:33,693 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:33,693 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:33,694 HttpMethodDirector.java:445 :- Retrying request
 WARN [main] 2011-02-22 13:12:33,694 ConfigManager.java:127 :- Unable to load configuration: java.net.ConnectException: Connection refused
 INFO [main] 2011-02-22 13:12:38,698 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:38,698 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:38,699 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:38,699 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:38,700 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:38,700 HttpMethodDirector.java:445 :- Retrying request
 WARN [main] 2011-02-22 13:12:38,700 ConfigManager.java:127 :- Unable to load configuration: java.net.ConnectException: Connection refused
 INFO [main] 2011-02-22 13:12:43,706 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:43,706 HttpMethodDirector.java:445 :- Retrying request
 INFO [main] 2011-02-22 13:12:43,707 HttpMethodDirector.java:439 :- I/O exception (java.net.ConnectException) caught when processing request: Connection refused
 INFO [main] 2011-02-22 13:12:43,707 HttpMethodDirector.java:445 :- Retrying request
