DEBUG: setDebug: JavaMail version 1.4ea
 INFO [main] 2011-02-22 13:18:32,151 AbstractService.java:52 :- Starting Data Service
 INFO [main] 2011-02-22 13:18:32,162 ConfigManager.java:85 :- Loading up configuration
 INFO [main] 2011-02-22 13:18:32,926 Conductor.java:130 :- Loaded conductor.xml successfully
 INFO [main] 2011-02-22 13:18:32,927 ConfigManager.java:94 :- Connecting to conductor at: http://localhost:8081
 INFO [main] 2011-02-22 13:18:34,288 ShardMap.java:166 :- Setting up ShardMap...
 INFO [main] 2011-02-22 13:18:34,288 ShardMap.java:82 :- Shard#0
 INFO [main] 2011-02-22 13:18:34,289 ShardMap.java:82 :- Shard#1
 INFO [main] 2011-02-22 13:18:34,289 ShardMap.java:100 :- Read in: 2 Shards
 INFO [main] 2011-02-22 13:18:34,289 ShardMap.java:191 :- Validating Shard Mapping
 INFO [main] 2011-02-22 13:18:34,290 ShardMap.java:197 :- Connecting to shard: jdbc:postgresql://localhost:5432/shard1
 INFO [main] 2011-02-22 13:18:34,337 ShardMap.java:197 :- Connecting to shard: jdbc:postgresql://localhost:5432/shard2
 INFO [main] 2011-02-22 13:18:34,346 StateDb.java:33 :- Initializing access to the State Database
 INFO [main] 2011-02-22 13:18:34,353 AbstractService.java:52 :- Starting SocialNetwork Service
 INFO [main] 2011-02-22 13:18:34,354 SocialNetworkService.java:40 :- Starting the SocialNetwork Service
 INFO [main] 2011-02-22 13:18:34,439 DataAccessProvider.java:161 :- Creating cache manager: net.sf.ehcache.CacheManager@d89d7eb
 INFO [main] 2011-02-22 13:18:34,478 DataAccessProvider.java:166 :- setting up log4j JMX...
 INFO [main] 2011-02-22 13:18:34,503 DataAccessProvider.java:626 :- Config change: Setting new value of count for Cache: mo to be: 10000
 INFO [main] 2011-02-22 13:18:34,503 DataAccessProvider.java:634 :- Config change: Setting new value of TimeToLive for Cache: credential to be: 180
 INFO [main] 2011-02-22 13:18:34,503 DataAccessProvider.java:642 :- Config change: Setting new value of TimeToIdle for Cache: credential to be: 300
 INFO [main] 2011-02-22 13:18:34,504 DataAccessProvider.java:626 :- Config change: Setting new value of count for Cache: identity to be: 10000
 INFO [main] 2011-02-22 13:18:34,504 AbstractService.java:52 :- Starting Data Access Provider
 INFO [main] 2011-02-22 13:18:34,507 DataService.java:83 :- Registering TopMosCache with CacheRefresher service.
 INFO [main] 2011-02-22 13:18:34,527 AbstractService.java:52 :- Starting CacheRefresher Service
 INFO [main] 2011-02-22 13:18:34,527 CacheRefresher.java:62 :- Starting the CacheRefresher Service will refresh cache every: 30 seconds.
 INFO [main] 2011-02-22 13:18:34,533 TinyUrlBuilderTest.java:95 :- ---Randomized TinyUrls---
 INFO [main] 2011-02-22 13:18:34,553 TinyUrlBuilderTest.java:50 :- http://vqvc.socl.bz/6vcm7
 INFO [main] 2011-02-22 13:18:34,560 TinyUrlBuilderTest.java:50 :- http://vqvc.socl.bz/1qez2
 INFO [main] 2011-02-22 13:18:34,567 TinyUrlBuilderTest.java:50 :- http://vqvc.socl.bz/ody9p
